placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
0,Common Stock,07/06/2021,,S,,"1,555(1)",D,$56.45,31577,D,, EVP&ChiefAdminLegal&PubPolOff,SILLIMAN CRAIG L. ,VZ 
1,Common Stock,,,,,,,,4358,I,By 401(k), EVP&ChiefAdminLegal&PubPolOff,SILLIMAN CRAIG L. ,VZ 
0,Common Stock,06/30/2021,,A(1)(6),,4358390,A,$17,4358390,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
1,Common Stock,06/30/2021,,A(1)(6),,53374,A,$17,53374,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
2,Common Stock,07/06/2021,,C(5),,52648162,A,(5),57006552,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
3,Common Stock,07/06/2021,,C(5),,6096644,A,(1),6150018,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
4,Common Stock,07/06/2021,,C(5),,3822490,A,(1),60829042,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
5,Common Stock,07/06/2021,,C(5),,106081,A,(1),6256099,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
0,Class A Common Stock,07/07/2021,,M,,5125.0,A,$3.73,384456,D,, President and CEO,MADER MARK PATRICK ,SMAR 
1,Class A Common Stock,,,,,,,,51250,I,By T49C Trust(1), President and CEO,MADER MARK PATRICK ,SMAR 
2,Class A Common Stock,,,,,,,,51250,I,By T77A Trust(1), President and CEO,MADER MARK PATRICK ,SMAR 
0,Class A Common Stock,07/06/2021,,M,,4000,A,$2.72,9903,D,, Chief Revenue Officer,Arntz Michael ,SMAR 
1,Class A Common Stock,07/06/2021,,S(1),,4000,D,$75,5903,D,, Chief Revenue Officer,Arntz Michael ,SMAR 
0,Class A Common Stock,07/07/2021,,M,,1500,A,$40.79,12262,D,, Chief Marketing Officer,Griffin Anna ,SMAR 
1,Class A Common Stock,07/07/2021,,S(1),,1500,D,$77.1,10762,D,, Chief Marketing Officer,Griffin Anna ,SMAR 
0,Common Stock,07/07/2021,,A(1),,63,A,$19.77,"6,459(2)",D,,,SMITH SANDFORD D ,CYTK 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A,,"1,483(1)",A,$15.21,"79,414(1)(2)",I(1)(2),Tejon Ranch Co. Non-Qualifed Deferred Compensation Plan Truact,,STACK GEOFFREY L ,TRC 
0,Class I Common Shares,07/07/2021,,J(1),,168322.05,A,(1),"1,461,984.6(2)",I,"By Starwood REIT Advisors L.L.C., Starwood Real Estate Income Holdings, L.P. and Barry Sternlicht.",,STERNLICHT BARRY S ,N/A 
0,Common Stock,07/07/2021,,A,,100.098(1),A,$204.89,7257.793,D,,,STEVENS ROBERT J ,TROW 
0,Common Stock,07/07/2021,,S(1),,1108,D,$230.2898(2),119327,D,, President & COO,STRUBBE TODD B ,VRSN 
1,Common Stock,07/07/2021,,S(1),,965,D,$231.3624(3),118362,D,, President & COO,STRUBBE TODD B ,VRSN 
2,Common Stock,07/07/2021,,S(1),,927,D,$232.4974(4),117435,D,, President & COO,STRUBBE TODD B ,VRSN 
0,"Class B Common Stock, par value $.01 per share",07/06/2021,,A,,754(1),A,$16.578(2),"2,499(3)",D,,,SUESS GREGORY ,ZDGE 
0,Ordinary Shares,07/07/2021,,M,,3520,A,$105.28,29473.371,D,, Senior Vice President,SULTANA KEITH A ,TT 
1,Ordinary Shares,07/07/2021,,S,,"3,520(1)",D,$187.9156(2),25953.371,D,, Senior Vice President,SULTANA KEITH A ,TT 
2,Ordinary Shares(3),,,,,,,,11664.525,I,By Plan Trustee, Senior Vice President,SULTANA KEITH A ,TT 
0,Common Stock,07/06/2021,,P,,500,A,$563.04,14180,D,,,STAGLIN GAREN K ,SIVB 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,Common Stock,07/06/2021,,P,,202,A,$24.5561,3309,D,,,Schoener Timothy E ,CZNC 
0,Common Stock,07/06/2021,,C,,6122557,A,(1),"6,122,557(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
1,Common Stock,07/06/2021,,P,,1759332,A,$16,"7,881,889(2)",I,See footnotes(2)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
2,Common Stock,07/06/2021,,C,,1184366,A,(1),"1,184,336(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
3,Common Stock,07/06/2021,,P,,115668,A,$16,"1,300,034(3)",I,See footnotes(3)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
4,Common Stock,07/06/2021,,C,,588850,A,(1),"588,850(4)",I,See footnotes(4)(5),,"RA CAPITAL MANAGEMENT, L.P. ",ABOS 
0,Common Stock,06/01/2021,,A(1),,1162,A,$17.21,594808,D,,,Shim Sam Sang-Koo ,MCBS 
0,Common Stock,06/30/2021,,A(1)(6),,4358390,A,$17,4358390,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
1,Common Stock,06/30/2021,,A(1)(6),,53374,A,$17,53374,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
2,Common Stock,07/06/2021,,C(5),,52648162,A,(5),57006552,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
3,Common Stock,07/06/2021,,C(5),,6096644,A,(1),6150018,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
4,Common Stock,07/06/2021,,C(5),,3822490,A,(1),60829042,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
5,Common Stock,07/06/2021,,C(5),,106081,A,(1),6256099,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
0,Common Stock,06/30/2021,,A(1)(6),,4358390,A,$17,4358390,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
1,Common Stock,06/30/2021,,A(1)(6),,53374,A,$17,53374,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
2,Common Stock,07/06/2021,,C(5),,52648162,A,(5),57006552,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
3,Common Stock,07/06/2021,,C(5),,6096644,A,(1),6150018,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
4,Common Stock,07/06/2021,,C(5),,3822490,A,(1),60829042,I,"Held through SLA CM Eclipse Holdings, L.P.(2)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
5,Common Stock,07/06/2021,,C(5),,106081,A,(1),6256099,I,"Held through SLA Eclipse Co-Invest, L.P.(3)(4)",,"Silver Lake Group, L.L.C. ",EVCM 
0,Common Stock,07/07/2021,,S,,5000.0,D,$227,48000,I,See Footnote(1), President of R&D and CTO,Sinha Amit ,ZS 
1,Common Stock,07/07/2021,,S,,5000.0,D,$227,48000,I,See footnote(2), President of R&D and CTO,Sinha Amit ,ZS 
2,Common Stock,07/08/2021,,M,,7000.0,A,$5.925,268318,D,, President of R&D and CTO,Sinha Amit ,ZS 
3,Common Stock,07/08/2021,,S(3),,400.0,D,$220.735(4),267918,D,, President of R&D and CTO,Sinha Amit ,ZS 
4,Common Stock,07/08/2021,,S(3),,417.0,D,$222.3749(5),267501,D,, President of R&D and CTO,Sinha Amit ,ZS 
5,Common Stock,07/08/2021,,S(3),,700.0,D,$223.42(6),266801,D,, President of R&D and CTO,Sinha Amit ,ZS 
6,Common Stock,07/08/2021,,S(3),,1000.0,D,$224.362(7),265801,D,, President of R&D and CTO,Sinha Amit ,ZS 
7,Common Stock,07/08/2021,,S(3),,2200.0,D,$225.5964(8),263601,D,, President of R&D and CTO,Sinha Amit ,ZS 
8,Common Stock,07/08/2021,,S(3),,1900.0,D,$226.6453(9),261701,D,, President of R&D and CTO,Sinha Amit ,ZS 
9,Common Stock,07/08/2021,,S(3),,383.0,D,$227.3299(10),261318,D,, President of R&D and CTO,Sinha Amit ,ZS 
10,Common Stock,,,,,,,,149702,I,See footnote(11), President of R&D and CTO,Sinha Amit ,ZS 
11,Common Stock,,,,,,,,82375,I,See Footnote(12), President of R&D and CTO,Sinha Amit ,ZS 
12,Common Stock,,,,,,,,82374,I,See Footnote(13), President of R&D and CTO,Sinha Amit ,ZS 
13,Common Stock,,,,,,,,48000,I,See Footnote(14), President of R&D and CTO,Sinha Amit ,ZS 
0,Class A Common Stock,07/06/2021,,S,,"213,325(1)",D,$70.0171(2),40996154,D,, Chief Executive Officer,Spiegel Evan ,SNAP 
1,Class A Common Stock,,,,,,,,4903730,I,By Trust(3), Chief Executive Officer,Spiegel Evan ,SNAP 
0,Class I Common Shares,07/07/2021,,J(1),,168322.05,A,(1),"1,461,984.6(2)",I,"By Starwood REIT Advisors L.L.C., Starwood Real Estate Income Holdings, L.P. and Barry Sternlicht.",,STERNLICHT BARRY S ,N/A 
0,Common Stock,07/06/2021,,A,,20588,A(1),$0,20588,D,, Chief Admin and HR Officer,Sterling Lisa M. ,EVCM 
1,Common Stock,07/06/2021,,P,,5882,A,$17,5882,I,By Spouse, Chief Admin and HR Officer,Sterling Lisa M. ,EVCM 
0,Class A Common Stock,07/06/2021,,C(1),,"10,000(2)",A,$0,10000,D,,,HANSEN MARKA ,SFIX 
1,Class A Common Stock,07/06/2021,,S(3),,7700,D,$62.3776(4),2300,D,,,HANSEN MARKA ,SFIX 
2,Class A Common Stock,07/06/2021,,S(3),,2300,D,$63.2117(5),0,D,,,HANSEN MARKA ,SFIX 
0,Common Stock,07/06/2021,,A,,17647,A(1),$0,17647,D,, General Counsel,Storey Lisa E ,EVCM 
1,Common Stock,07/06/2021,,P,,2941,A,$17,2941,I,By Spouse, General Counsel,Storey Lisa E ,EVCM 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Class A Common Stock,07/06/2021,,C,,21725,A,(1),21725,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
1,Class A Common Stock,07/06/2021,,C,,561,A,(1),561,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
2,Class A Common Stock,07/06/2021,,C,,3752,A,(1),3752,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
3,Class A Common Stock,07/06/2021,,C,,807,A,(1),807,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
4,Class A Common Stock,07/06/2021,,C,,27,A,(1),27,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
5,Class A Common Stock,07/06/2021,,C,,1421,A,(1),1421,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
6,Class A Common Stock,07/06/2021,,C,,1275,A,(1),1275,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
7,Class A Common Stock,07/06/2021,,C,,111,A,(10),111,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
8,Class A Common Stock,07/06/2021,,C,,5683,A,(10),5683,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
9,Class A Common Stock,07/06/2021,,C,,5099,A,(10),5099,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
10,Class A Common Stock,07/06/2021,,S(14),,21725,D,$53.915(15),0,I,See Footnotes(2)(3),,"TA ASSOCIATES, L.P. ",ZI 
11,Class A Common Stock,07/06/2021,,S(14),,561,D,$53.915(15),0,I,See Footnotes(3)(4),,"TA ASSOCIATES, L.P. ",ZI 
12,Class A Common Stock,07/06/2021,,S(14),,3752,D,$53.915(15),0,I,See Footnotes(3)(5),,"TA ASSOCIATES, L.P. ",ZI 
13,Class A Common Stock,07/06/2021,,S(14),,807,D,$53.915(15),0,I,See Footnotes(3)(6),,"TA ASSOCIATES, L.P. ",ZI 
14,Class A Common Stock,07/06/2021,,S(14),,27,D,$53.915(15),0,I,See Footnotes(3)(7),,"TA ASSOCIATES, L.P. ",ZI 
15,Class A Common Stock,07/06/2021,,S(14),,1421,D,$53.915(15),0,I,See Footnotes(3)(8),,"TA ASSOCIATES, L.P. ",ZI 
16,Class A Common Stock,07/06/2021,,S(14),,1275,D,$53.915(15),0,I,See Footnotes(3)(9),,"TA ASSOCIATES, L.P. ",ZI 
17,Class A Common Stock,07/06/2021,,S(14),,111,D,$53.915(15),0,I,See Footnotes(3)(11),,"TA ASSOCIATES, L.P. ",ZI 
18,Class A Common Stock,07/06/2021,,S(14),,5683,D,$53.915(15),0,I,See Footnotes(3)(12),,"TA ASSOCIATES, L.P. ",ZI 
19,Class A Common Stock,07/06/2021,,S(14),,5099,D,$53.915(15),0,I,See Footnotes(3)(13),,"TA ASSOCIATES, L.P. ",ZI 
0,Common Stock,07/08/2021,,A,,1236,A,$15.21,61393,D,,,TISCH DANIEL R ,TRC 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A(1),,"1,154(1)",A,$15.21,"68,501(1)(2)",I(1)(2),Tejon Ranch Co. Non-Qualifed Deferred Compensation Plan Trust.(1),,METCALFE NORMAN J ,TRC 
0,Tejon Ranch Co. Common Stock,07/08/2021,,A,,"1,483(1)",A,$15.21,"79,414(1)(2)",I(1)(2),Tejon Ranch Co. Non-Qualifed Deferred Compensation Plan Truact,,STACK GEOFFREY L ,TRC 
0,Ordinary Shares,06/30/2021,,P,,1051480.0,A,$0.034(1),1051480,D,, CEO and Director,COMMISSIONG GERALD ,TOMDF 
1,Ordinary Shares,,,,,,,,78025645,I,See footnote(2), CEO and Director,COMMISSIONG GERALD ,TOMDF 
0,Class A Common Stock,07/06/2021,,S(1),,1200,D,$386.08,"77,726(2)",D,, Chief Financial Officer,Shipchandler Khozema ,TWLO 
0,COMMON STOCK,07/06/2021,,M,,20000,A,$0.93(1),97163,D,,,Ballesta Moya Gloria L ,UEC 
1,COMMON STOCK,07/06/2021,,F,,7783,D,$2.39,89380,D,,,Ballesta Moya Gloria L ,UEC 
2,COMMON STOCK,07/07/2021,,S,,3300,D,$2.32,86080,D,,,Ballesta Moya Gloria L ,UEC 
3,COMMON STOCK,07/07/2021,,S,,16700,D,$2.31,69380,D,,,Ballesta Moya Gloria L ,UEC 
0,Common Stock,07/06/2021,,S,,"2,000(1)",D,$5.92,2098475,D,,,LONG MICHAEL R ,USIO 
1,Common Stock,07/07/2021,,S,,"2,000(1)",D,$5.95,2096475,D,,,LONG MICHAEL R ,USIO 
0,"Common Stock, par value $0.001 per share",07/06/2021,,S(1),,879,D,$59.64(2),75423,D,,,Segev Ofer ,VRNS 
1,"Common Stock, par value $0.001 per share",07/06/2021,,S(1),,621,D,$60.35(3),74802,D,,,Segev Ofer ,VRNS 
0,Common Stock,07/07/2021,,S(1),,1108,D,$230.2898(2),119327,D,, President & COO,STRUBBE TODD B ,VRSN 
1,Common Stock,07/07/2021,,S(1),,965,D,$231.3624(3),118362,D,, President & COO,STRUBBE TODD B ,VRSN 
2,Common Stock,07/07/2021,,S(1),,927,D,$232.4974(4),117435,D,, President & COO,STRUBBE TODD B ,VRSN 
0,Common Stock,07/07/2021,,M,,5000,A,$5.175,114277,D,, Chief Medical Officer,Pang Phillip ,VIR 
1,Common Stock,07/07/2021,,S(1),,3505,D,$40.1632(2),110772,D,, Chief Medical Officer,Pang Phillip ,VIR 
2,Common Stock,07/07/2021,,S(1),,1495,D,$40.9089(3),109277,D,, Chief Medical Officer,Pang Phillip ,VIR 
